Sucursal,Asesor,Codigo Asesor,Cliente,Codigo Cliente,U.E.,Litros Empaque,Producto,Litros Potenciales
Valencia,Henry Urdaneta,45497,"INGEDAC INGENIERIA DAC, C.A",66773,Tambor,208,ECO GREASE COMPLEX HT-EP 5% BIMOLI,"208,00"
Valencia,Henry Urdaneta,45497,"INGEDAC INGENIERIA DAC, C.A",66773,Tambor,208,CAR MINE  HEAVY DUTY COOLANT,"208,00"
Valencia,Henry Urdaneta,45497,ARENAS DEL CENTRO C.A.,33814,Tambor,208,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"624,00"
Valencia,Henry Urdaneta,45497,ARENAS DEL CENTRO C.A.,33814,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"1.040,00"
Valencia,Henry Urdaneta,45497,ARENAS DEL CENTRO C.A.,33814,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"1.040,00"
Valencia,Henry Urdaneta,45497,ARENAS DEL CENTRO C.A.,33814,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Valencia,Henry Urdaneta,45497,ARENAS DEL CENTRO C.A.,33814,Tambor,208,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"208,00"
Valencia,Henry Urdaneta,45497,FERRO ALUMINIO C.A. (FERRALCA),34577,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"57,00"
Valencia,Henry Urdaneta,45497,FERRO ALUMINIO C.A. (FERRALCA),34577,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"208,00"
Valencia,Henry Urdaneta,45497,FERRO ALUMINIO C.A. (FERRALCA),34577,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Valencia,Henry Urdaneta,45497,FERRO ALUMINIO C.A. (FERRALCA),34577,Tambor,208,BIO MATIC CATERPILLAR TO-4 50,"208,00"
Valencia,Henry Urdaneta,45497,"TRIPOLIVEN, C.A.",3075,Paila,19,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"57,00"
Valencia,Henry Urdaneta,45497,"TRIPOLIVEN, C.A.",3075,Paila,19,ECO CLASSIC SYNTHETIC BLEND MULTIGRADE API SP/SN SAE 20W-50,"57,00"
Valencia,Henry Urdaneta,45497,"TRIPOLIVEN, C.A.",3075,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"19,00"
Valencia,Henry Urdaneta,45497,"TRIPOLIVEN, C.A.",3075,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"208,00"
Valencia,Henry Urdaneta,45497,"TRIPOLIVEN, C.A.",3075,Tambor,208,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"208,00"
Maracaibo,Jose Urdaneta,45497,"ALIMENTOS POLAR COMERCIAL, C.A",56490,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"45,00"
Maracaibo,Jose Urdaneta,45497,"BITUPLAST, C.A",51937,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"208,00"
Maracaibo,Jose Urdaneta,45497,"MIMESA ALIMENTOS, C.A.",79505,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"11,00"
Maracaibo,Jose Urdaneta,45497,CERVECERIA POLAR C.A,49985,3x1,"11,355",ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"91,00"
Maracaibo,Jose Urdaneta,45497,PEPSI-COLA VENEZUELA C.A,29992,3x1,"11,355",ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"91,00"
Maracaibo,Jose Urdaneta,45497,"MEGA 72, C.A.",92950,Paila,19,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"38,00"
Maracaibo,Jose Urdaneta,45497,"PRODUCTORA DE SAL, C.A.",17094,Paila,19,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"190,00"
Maracaibo,Jose Urdaneta,45497,"PRODUCTORA DE SAL, C.A.",17094,Paila,19,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"190,00"
Maracaibo,Jose Urdaneta,45497,"PRODUCTORA DE SAL, C.A.",17094,Paila,19,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"190,00"
Maracaibo,Jose Urdaneta,45497,"PRODUCTORA DE SAL, C.A.",17094,Tambor,208,ECO DYN INDUSTRIAL GEAR OIL EP 220,"208,00"
Maracaibo,Jose Urdaneta,45497,"PRODUCTORA DE SAL, C.A.",17094,Tambor,208,ECO DYN INDUSTRIAL GEAR OIL EP 320,"208,00"
Maracaibo,Jose Urdaneta,45497,"TRANS CARGO DE VENEZUELA, C.A.",64107,3x1,"11,355",CAR MINE BRAKE FLUID -DOT 3,"11,00"
Maracaibo,Jose Urdaneta,45497,"TRANS CARGO DE VENEZUELA, C.A.",64107,Bidon,"20,000",CAR MINE  HEAVY DUTY COOLANT,"120,00"
Maracaibo,Jose Urdaneta,45497,"TRANS CARGO DE VENEZUELA, C.A.",64107,Paila,19,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"76,00"
Maracaibo,Jose Urdaneta,45497,"TRANS CARGO DE VENEZUELA, C.A.",64107,Paila,19,ECO DYN PREMIUM HYDRAULIC OIL AW 68,"19,00"
Maracaibo,Jose Urdaneta,45497,"TRANS CARGO DE VENEZUELA, C.A.",64107,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5  SAE 80W90,"76,00"
Maracaibo,Jose Urdaneta,45497,"TRANS CARGO DE VENEZUELA, C.A.",64107,Paila,19,ADDENDUM MULTIGRADE GEAR OIL API GL-5 SAE 85W140,"76,00"
Maracaibo,Jose Urdaneta,45497,"REDVITAL COMERCIALIZADORA, C.A.",77147,Paila,19,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"133,00"
Maracaibo,Jose Urdaneta,45497,"CREA DESARROLLOS,SOCIEDAD ANONIMA",51853,Paila,19,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"114,00"
Maracaibo,Jose Urdaneta,45497,"CONGELADOS Y FRESCOS MARINOS, C.A",76939,3x1,"11,355",ECO CLASSIC SYNTHETIC BLEND MULTIGRADE MOTOR OIL API SN/SL SAE 15W40,"23,00"
Maracaibo,Jose Urdaneta,45497,"CONGELADOS Y FRESCOS MARINOS, C.A",76939,Tambor,208,ECO CLASSIC HEAVY DUTY DIESEL MULTIGRADE MOTOR OIL API CI-4 SAE 15W40,"7.072,00"
Maracaibo,Jose Urdaneta,45497,"CONGELADOS Y FRESCOS MARINOS, C.A",76939,Tambor,208,ECO PLUS MONOGRADE MOTOR OIL API CF SAE 50 TBN 10,"2.496,00"
